Kata,Jumlah
saya,5324
di,4755
tidak,4274
sangat,3573
dan,3359
pinjaman,2781
aplikasi,2700
yang,2441
sudah,2035
ini,2015
cepat,1929
membantu,1906
data,1839
mudah,1781
bagus,1715
nya,1599
kasih,1563
bisa,1499
semoga,1441
acc,1435
mantap,1265
ada,1097
terima,1096
untuk,936
pengajuan,880
lagi,846
hapus,840
proses,830
apakah,828
karena,821
tunaiku,816
limit,813
pinjam,786
tolong,769
kalau,768
banget,709
saja,679
oke,674
juga,658
jangan,647
baik,633
ribet,623
sekali,620
aman,606
dengan,604
cair,602
bintang,601
mau,576
online,555
tapi,547
hari,508
gunakan,507
ojk,501
belum,494
bayar,493
tolak,482
ya,479
jadi,479
benar,460
terus,452
buat,441
baru,428
padahal,409
ke,404
terpercaya,404
selalu,392
dulu,385
dana,384
akan,378
akun,362
dari,361
mohon,357
bunga,355
langsung,333
good,332
mengajukan,329
lama,327
dapat,320
salah,318
pernah,317
butuh,317
cuma,312
jelas,308
tetapi,301
kenapa,300
dalam,295
kali,289
apa,286
malah,285
waktu,279
keren,278
tanggal,277
semua,269
sama,268
akulaku,265
meminjam,263
pakai,261
coba,261
lebih,258
tempo,256
modal,253
sampai,250
aku,249
masih,241
uang,240
saat,239
itu,238
paling,237
jatuh,234
jika,228
banyak,220
aplikasinya,216
jawab,214
sini,214
ditolak,212
pembayaran,210
masuk,209
orang,208
oleh,203
sukses,203
terbaik,196
prosesnya,194
diawasi,194
gagal,194
pertama,188
puas,186
menunggu,186
rendah,185
awasi,180
pencairan,177
hanya,173
lah,171
kok,168
lain,167
ribu,167
bantu,166
kita,164
atas,162
kartu,162
pihak,162
atau,161
juta,161
cukup,161
tanda,160
setelah,160
memang,159
membutuhkan,159
telat,158
pribadi,157
pokoknya,155
lunas,155
lolos,153
besar,153
tagihan,152
pinjol,152
pas,150
gampang,150
penduduk,150
sih,149
lancar,147
sebelum,146
kan,146
bertanggung,144
anda,142
adalah,140
x,140
sesuai,140
terlalu,138
unduh,138
harus,136
kebutuhan,136
sekarang,135
kecil,135
gue,135
berhasil,135
verifikasi,133
daftar,132
uninstall,132
maaf,130
usaha,129
tanpa,129
tenor,128
nih,128
amanah,127
nama,126
bermanfaat,125
melakukan,124
isi,123
easycash,122
tepat,122
menghapus,122
ku,122
kecewa,121
bapak,121
digunakan,120
bulan,119
tau,119
deh,119
menyetujui,119
ibu,118
disalah,118
kalian,118
telah,117
buruk,116
bagaimana,115
aneh,115
uninstal,114
bunganya,113
meminta,113
ajukan,112
tetap,112
bagi,111
mudahan,109
susah,108
lumayan,107
awal,106
an,105
telepon,105
pun,102
enggak,100
naik,100
punya,99
agustus,99
pada,98
tambah,97
terhormat,97
pelayanan,97
best,97
menggunakan,97
mendesak,96
cara,95
pinjamwinwin,95
biasa,95
ingin,94
tinggi,94
iya,94
yuk,93
bukan,93
nanti,92
paylater,92
cicilan,92
memuaskan,91
top,91
the,90
lengkap,90
darurat,89
tiba,89
kredit,88
min,88
suka,87
mencoba,87
kurang,86
luar,86
hati,85
app,85
satu,84
seperti,83
kayak,82
doang,82
suruh,82
masa,81
september,81
makin,80
per,80
soalnya,79
nice,79
katanya,79
mengisi,78
limitnya,77
pengisian,77
rekomendasi,76
kamu,76
kembali,76
alhamdulillah,75
no,75
tunggu,75
jelek,74
mana,74
pinjamannya,74
berwajib,73
tunai,73
respon,73
solusi,73
pengajuannya,72
menang,72
begitu,72
disetujui,71
menit,71
layanan,71
rekening,71
teman,70
jam,70
perlu,70
cocok,70
membatu,69
semakin,69
go,68
bank,68
biar,68
beberapa,68
tak,68
mulai,67
kepada,67
foto,66
amin,65
ringan,65
pelunasan,65
parah,64
laporkan,63
pasti,62
syarat,62
ambil,62
menelpon,62
dihapus,61
setiap,61
berguna,60
hebat,60
nomor,60
biaya,60
sederhana,59
admin,59
diri,59
menjadi,58
hal,58
pendaftaran,58
apabila,58
jaga,58
sistem,58
awas,58
menyesal,57
handphone,57
nyaman,57
saku,57
sedang,57
mereka,56
ternyata,56
dong,56
teror,56
betul,55
mendadak,55
memberi,55
iklan,55
percaya,55
segera,55
sedikit,55
depan,55
sulit,55
secara,55
alasan,54
guna,53
recommended,53
cairnya,53
panjang,53
kerja,53
kami,53
terjadi,53
ketika,52
pelanggan,52
sayang,51
winwin,51
jangka,51
eh,51
membayar,51
bikin,51
keuangan,51
mulu,51
tanggung,50
