Username,Score,At,Content,Aplikator
Pengguna Google,5,2024-09-07 23:32:53,bagus sekali,Ada Kami
Pengguna Google,5,2024-09-07 18:21:01,Mudah mudahan di ACC ya min,Ada Kami
Pengguna Google,5,2024-09-07 16:46:53,Bagus,Ada Kami
Pengguna Google,5,2024-09-07 16:34:56,Bismillah semoga bisa dibantu..untuk kebutuhan keluarga,Ada Kami
Pengguna Google,4,2024-09-07 14:43:23,Mksih,Ada Kami
Pengguna Google,1,2024-09-07 13:18:53,"Jangan pernah dolwon aplikasi ini sangat merugikan, aplikasi ini enggak guna giliran belum jatuh tempo udah di telpon berkali-kali, giliran ada keluhan enggak ada solusi benar nyesel dolwon aplikasi ini ðŸ˜¡ðŸ˜¡",Ada Kami
Pengguna Google,3,2024-09-07 12:41:32,Saya tidak jadi meminjam di aplikasi ini dan saya akan menghapus aplikasi ini dan saya di apk ini tidak ada tagihan nnya dan jika data saya digunakan tanpa izin saya sendiri maka saya akan melaporkannya ke pihak berwajib terimakasih tertanggal 7 September 2024,Ada Kami
Pengguna Google,1,2024-09-07 12:39:24,"Kenapa saya kasih Bintang satu semoga mengert , saya sdh lunas semua dan tdk pinjam lagi tolong hapis data saya jangan sampai di salah Gunakan tks",Ada Kami
Pengguna Google,1,2024-09-07 12:37:39,"Ini gimana sii, saya pernah ngajuin ga d approve, tapi udah hapus akun.. Pas mau daftar, kok katanya data sya udah trdaftar di akun lain? Brarti data sya sbelumnya blom dihapusin yaa?",Ada Kami
Pengguna Google,5,2024-09-07 12:22:20,Sangat bagus Apakah kali ini saya di kasih pinjaman setelah beberapa kali pengajuan gagal mulu,Ada Kami
Pengguna Google,5,2024-09-07 11:51:02,Bagus semoga di acc,Ada Kami
Pengguna Google,5,2024-09-07 11:00:00,semoga nyaman dan bermanfaat,Ada Kami
Pengguna Google,1,2024-09-07 10:46:49,Sangat buruk,Ada Kami
Pengguna Google,5,2024-09-07 09:37:26,"Mudah dan cepat, semoga bermanfaat... Tapi sayang , saya gak acc pengajuan di ada modal",Ada Kami
Pengguna Google,5,2024-09-07 09:33:02,Baru pertama kali,Ada Kami
Pengguna Google,5,2024-09-07 09:31:36,Sukses selalu,Ada Kami
Pengguna Google,5,2024-09-07 09:31:26,"Tidak pernh pinjam di aplikasi lain tpi di tolak terus,moga moga d acc butuh uang ada modal.",Ada Kami
Pengguna Google,5,2024-09-07 08:11:50,Semoga mantap,Ada Kami
Pengguna Google,5,2024-09-07 07:51:28,Cepat dan jelas,Ada Kami
Pengguna Google,5,2024-09-07 07:50:04,sangat membantu,Ada Kami
Pengguna Google,5,2024-09-07 07:44:36,ðŸ‘ðŸ‘ðŸ‘ðŸ‘ðŸ‘ðŸ‘,Ada Kami
Pengguna Google,5,2024-09-07 07:08:04,Sangat terbantu pokonya,Ada Kami
Pengguna Google,1,2024-09-07 06:55:32,"Saya yakin 100% yg make pinjol ini hanya untuk sarana judi online.. Pinjam.nya 1jt cair.nya 720rb bunga 120 tenor 14 hari. Heran pinjol jenis kaya gini dapat ijin dari OJK & AFPI, mau heran tapi ini indonesia.. Rentenir online",Ada Kami
Pengguna Google,5,2024-09-07 06:41:55,Baru nyoba,Ada Kami
Pengguna Google,5,2024-09-07 06:36:46,ðŸ‘ðŸ‘,Ada Kami
Pengguna Google,5,2024-09-07 06:05:24,ACC ya bos,Ada Kami
Pengguna Google,5,2024-09-07 06:03:46,Keren apk nya,Ada Kami
Pengguna Google,5,2024-09-07 05:42:05,Bagus,Ada Kami
Pengguna Google,5,2024-09-07 04:58:06,Ok,Ada Kami
Pengguna Google,3,2024-09-07 04:28:22,Ok,Ada Kami
Pengguna Google,5,2024-09-07 04:15:49,Nice mudah & cepat,Ada Kami
Pengguna Google,1,2024-09-07 04:01:46,"Aplikasi pinjaman yg TIDAK disarankan.BUNGA GEDE,ADMIN GEDE,JANGKA CUMA 14HARI. HATI"" BUAT KALIAN YG MAU DOWNLOD MENDING DIPIKIR"" LAGI",Ada Kami
Pengguna Google,1,2024-09-07 03:59:39,"Pada hari ini Sabtu tanggal 7 sept'24 saya resmi MengUNINSTAL apk ini Krena pengajuan tdk disetujui dan sya tdk memiliki sangkutan atau pinjaman dgn apk ini, mhon utk tidak menyalahgunakan data-data pribadi saya dlm bentuk apapun ðŸ™",Ada Kami
Pengguna Google,1,2024-09-07 03:58:02,aplikasi kebanyakan suruh masukin data. mending kalau limit gede. lah limit kecil. hapus aja apk.a dari playstore. kalau gk mampu kasih pinjaman minimal gk usah kebanyakan syarat. tolol,Ada Kami
Pengguna Google,3,2024-09-07 03:12:32,Masi proses,Ada Kami
Pengguna Google,5,2024-09-07 02:34:41,Oke,Ada Kami
Pengguna Google,5,2024-09-07 02:18:22,Terima kasih,Ada Kami
Pengguna Google,5,2024-09-07 01:53:04,Semoga di ACC,Ada Kami
Pengguna Google,5,2024-09-07 01:11:16,Bagus mohon limits nya ditambah,Ada Kami
Pengguna Google,5,2024-09-07 01:09:06,Sangat bagus dan cepat,Ada Kami
Pengguna Google,1,2024-09-07 00:33:47,"Hati hati dengan aplikasi inh udah tdd tapi Ngada klanjutan ,awas di slah gunakan data pribadi saya saya ,saya laporin",Ada Kami
