Nama,Review,Rating,Tahun
Dias Septiaji04,saya pesan fire chiken dapat bonus rambut pegawai nya gimana nih perusahaan sebesar ini karyawan nya tidak mengecek makanan dengan detail,1,2025
Nurin Mediasari,"Lamaaaa bangeett gaess.. Bilangnya 10 menit tp bisa lebihh 25menit.. Pesen es krim bukannya mesinnya di hidupin dari awal, eh pas udah selesai order yg lain baru di hidupin katanya 5 menit tp lebihh juga sampe 12 mnt  no rekomen ga kesini lg deh ",1,2025
Karlina Adelia,"pulang kerja capee laper banget mood banget mau dateng ke resto ini,pas ikut antian di layanin sama mba mba jutek banget yang jaga malem sekitar jam 12san, ditambah makanan yang dihidangkan bikin gamau repeat order untuk di resto cabang ",1,2025
Mochamad Khilmi,Lambat bener.. Fast food apaan nunggu order an 30 menit,1,2025
Poedji Koja,dugaan staf resto melakukan order fiktif COD via aplikasi Shoppe Food,1,2025
Hetty Maria,"Untuk resto nya lbh mengutanakan yg ofline dari pada yg online,,untuk menunggu pesanan terlalu lama,,",1,2025
Kang Rumput,Kasir nya jutek kurang ramah padahal harganya agak pricey manager nya kemarin minta saus juga jutek gitu kapok gabakal ke richesse sini lagi,1,2025
brenk sex,"Order online 40 menit, gak salah resto sekelas richessee. Kecewa",1,2025
Ramdhanih Rohmat,"Pelayanan lama, sekelas richeese kasir nya ko cuma 1 yang lain pada kemana jadi bikin antrian aja",1,2025
Muhammad Falah,"Abu rokok dimana mana, meja kurang bersih  bekas makanan, tidak ada petugas kebersihannya, pelayanan kebersihan lebih bagus di pecel lele pinggir jalan dari pada disini",1,2024
Vera Mariani,"Tolong di Update no telp yg bisa dihubungi , nyambung ke kontak greater tetapi infonya nomer tersebut tidak bisa dihubungi , pesan lewat layanan padahal kondisi resto sepi info driver , diberikan no telp toko g nyambung nyambung sibuk terus ",1,2024
zakki mubarok,Antrenya lama gila .....setengah jam baru dua orderan belum saingan SM yg online,1,2024
Lutffy Channel,Jam 14:00 tgl 28 saya mau pesan tapi gada pelayan sama sekali di depan di panggil gada yg keluar tolong dong saya jadi harus nunggu 10mnt,1,2024
Sellya Kristianto,"Maaf kaaa untuk pelayanan takeaway harus lebih teliti yaaaPesanan saya tidak lengkap untuk pemesanan firewings paketan nasi,  tapi nasinya tidak adaTerimakasih  ",1,2023
Andri Adelia,Kecewa pelayanan sangat lama.apa lagi pesen menu yang 1 ekor mesti nunggu 30menit lebih,1,2024
Joko Purwono,"saya pesan online, tapi pelayanan disamakan dengan pesan offline(reguler) . Pelayanannya lama,antrinya bisa sejam. Keburu hilang lapar.suasana seperti pasar yg runyam menumpuk. Tidak seperti MCD layanan cepat, tepat. Pesan online & offline bisa disesuaikan.",1,2024
Jamal Mubarok,"pesan paket promo (FFC Personal 5pcs free 2 DS FFC Personal) untuk di take away Dari jam 5.37 PM Dan baru selesai di jam 6.40an PM. Pesanan saya diproses terakhir sampe bener2 gaada antrian lagi, malah yang pesan setelah saya dilayanin ",1,2024
Afza syamil,"BAGI KAMI OJEK ONLINE SANGAT DIRUGIKAN KARENA HANYA RESTO INI YG KENA BAYAR PARKIR,KARENA TIDAK SEMUA CUSTOMER MAU MENGGANTI BIAYA PARKIR ,,,,,TOLONG MANAGEMENT NYA DI EVALUASI LAGI,,,,KALO MAU IKUT ONLINE HARAP PARA DRIVER OJEK ONLINE DI BEBASLAN DARI BIAYA PARKIR,KARENA KAMI ITU PEKERJA BUKAN CUSTOMER ,,,,,",1,2024
Atikah Zahrah,PELAYANAN SUPER LAMA. masa nunggu sampe sejam. gila aja kali,1,2024
Taufiq Qurrahman,"Pelayanannya buruk, lama banget,petugasnya sedikit kerjanya terlalu santai ,kita driver ojol selalu antri memakan waktu satu jam lebih, resikonya kita jadi dapat bintang buruk dari pelanggan, ricis emg BANGS*T",1,2020
